,pval,ptot,ols,log2fc_overall,log2fc,log10p,log10t
LPC(15:0),0.4152509708292833,0.2937922337961617,0.41525097082928286,0.2647097545791084,0.06701818713187713,0.3816893435236293,0.5319596886820831
LPC(16:1),0.8265156294281684,0.08091523966354261,0.8265156294281701,0.7265013190923986,-0.2303350271910638,0.0827489294969742,1.0919696751927264
LPC(16:0),0.5865426887785554,0.1566233412640548,0.5865426887785534,0.40777284410222947,-0.0006226723637379195,0.2317003742964591,0.8051435154147611
LPC(17:1),0.96369168459115,0.15146879046041775,0.9636916845911508,0.4933803156563701,-0.22333796900725922,0.01606188839782694,0.8196768425881757
LPC(17:0),0.4786744013949004,0.3131468114007957,0.4786744013948995,0.44760351210506855,-0.030848561964345933,0.31995979714767514,0.5042520061184763
LPC(18:2),0.2830151052931408,0.8300986257034086,0.28301510529314,0.10818136717363913,0.1739475795422294,0.5481903843683282,0.0808703051490473
LPC(18:1),0.6673020584630691,0.23788740702221967,0.6673020584630682,0.39749075420583146,-0.038695665411484725,0.1756775354552781,0.6236285474772997
LPC(18:0),0.7090469930768816,0.3655603886376463,0.7090469930768797,0.21466043783361854,-0.005530737252209761,0.14932498039147446,0.4370408696343157
LPC(19:1),0.5945027596240842,0.1634038705531217,0.5945027596240837,0.5896599717847899,-0.0923761795886795,0.22584612508779553,0.7867376605333828
LPC(19:0),0.5331496354969766,0.9919663845791405,0.5331496354969756,-0.019193148408355842,-0.008957935772859749,0.27315088337453763,0.003503044820767076
LPC(20:4),0.7845412963726264,0.032425596126609446,0.7845412963726277,0.760087685970106,-0.21880578711194687,0.10538419125521675,1.4891120309071926
LPC(20:3),0.6217784309142391,0.18926323635780587,0.621778430914238,0.4143823515984515,-0.042648720817052066,0.2063643474221244,0.7229337378456573
LPC(20:2),0.47357869842206485,0.538157041128093,0.47357869842206385,0.31348847457647544,0.05298119629050113,0.32460784041902296,0.26909097313793906
LPC(20:1),0.37712920298018715,0.6991325069915074,0.37712920298018643,0.1189900728236708,0.36370249689417866,0.4235098367216779,0.15544050436674026
LPC(20:0),0.8712045166181848,0.3870553410422811,0.8712045166181858,-0.4392875749173535,-0.08900551113322086,0.05987988171730688,0.41222693526275567
LPC(22:6),0.29922564730471035,0.08390208350400272,0.2992256473047099,1.0363950276209488,0.3910077738259554,0.5240011848532129,1.0762272543911282
LPC(22:5),0.6060772319389126,0.09544436968986487,0.6060772319389114,0.7427829581664636,-0.027769599073267592,0.2174720305074293,1.0202496857589871
