	pathway	reactome_id	symbol
0	ABC transporter disorders	R-HSA-5619084	PSMB9,PSMD3,RNF5,PSMA2,LOC105369239,ABCC6,PSMB1,PSMB8,PSMB9,PSMD11,SEL1L,RNF5,PSMD2,PSMB11,PSMB10,ABCG8,DERL3,CFTR,KCNJ11,PSMB9,PSMB9,DERL3,PSMA7,ERLEC1,PSMD10,PSMA5,LOC105369239,ABCC6,PSMD5,RNF185,UBB,PSMC6,PSMA6,PSMB9,PSMB9,RNF5,DERL2,PSMF1,DERL1,PSMB4,ABCA12,PSMD13,PSMD4,OS9,PSMA8,PSMA1,PSMB8,PSMB5,PSME2,ABCC8,PSMB8,PSME1,PSMA4,UBC,RNF5,PSMB8,PSMC4,RNF5,ABCG5,ABCB6,PSMB8,PSMB6,PSME4,PSMB3,PSMB8,PSMC2,SEM1,PSMC3,ABCD4,PSMD8,ERLIN1,PSMD9,ABCC2,ABCB11,PSMC1,PSMC5,PSMB9,PSMC4,ABCA1,RNF5,PSMB2,PSMB9,ABCD1,VCP,PSMD14,PSMD12,PSMD1,PSME3,ABCB4,RPS27A,PSMA3,PSMB8,ERLIN2,UBA52,PSMB8,PSMB7,PSMD7,RNF5,PSMB3,PSMD6,ABCA3,ABCC9
1	ABC-family proteins mediated transport	R-HSA-382556	PEX3,ABCG1,ABCA12,ABCA2,PEX19,ABCD1,ABCA10,ABCA5,ABCG8,ABCD3,ABCG4,ABCA6,ABCA7,APOA1,ABCA3,ABCB10,ABCB7,ABCG5,ABCA9,ABCB6,ABCD2,ABCB8
2	Acetylcholine binding and downstream events	R-HSA-181431	CHRNA6,CHRNB2,CHRNA1,CHRNB3,CHRNE,CHRNA3,CHRND,CHRNA5,LOC101929970,CHRNA7,CHRNG,CHRNB4,CHRNA9,CHRNA4,CHRNA2
3	Activated NTRK2 signals through FYN	R-HSA-9032500	NTRK2,BDNF,DOCK3,FYN,RAC1
4	Activation of NMDA receptor and postsynaptic events	R-HSA-442755	HRAS,DLG4,CALM1,CALM3,CAMK2A,MAPK1,PRKACA,NEFL,RPS6KA1,BRAF,GRIN2C,RPS6KA6,RPS6KA3,RASGRF1,GRIA3,RAF1,CAMK2D,GRIN1,PDPK1,CAMKK1,RPS6KA1,GRIN2B,RPS6KA2,GRIA1,CAMK2G,CREB1,PRKACG,RRAS,PRKACB,GRIN2A,ADCY8,GRIA2,ACTN2,RASGRF2,GRIN2D,HRAS,GRIA4,ADCY1,CAMK4,ADCY3,AKAP9,CAMK2B
5	Adaptive Immune System	R-HSA-1280218	SHC1,KIF3A,HLA-DPA1,PSMB9,KIR3DL2,IKBKB,PSMD3,LNPEP,ITGB7,HLA-DQA2,HLA-DQA1,TIRAP,FBXL13,CD247,GRAP2,SIGLEC1,IGHV2-70,SOCS3,PSMB8,KIR2DS1,PSMD11,UBE2K,TLR1,CCNF,IGHV1-46,SMURF2,KLC2,KBTBD7,ASB18,HLA-F,ICOS,TAB2,KIR3DL2,HLA-DPA1,HLA-DMB,NCR3,KIR2DL4,LILRA5,IGLV2-8,ASB2,NFATC3,PSMB9,HLA-DQA2,HLA-DQA1,NCR2,KLRD1,KIF2A,KIR3DL2,ANAPC4,FBXL19,BTBD1,FCGR3A,UBE4A,TRIM69,CD101,PSMD5,OSCAR,FBXL4,KIR2DS2,FBXW11,AP2B1,LGMN,RAET1E,NCR1,KIR2DL4,UBA6,UNKL,CD3D,KIR3DL2,SEC23A,LILRA1,KIR3DL2,KIF18A,FBXL3,BTK,TAP2,OSBPL1A,VHL,C3,GAN,SIGLEC7,ITGAV,PILRA,CALM1,CALM3,ASB11,IGHV4-59,SPSB1,MICB,KIR2DL3,NCR3,FYN,KIR2DL2,DCTN5,KIR2DL3,IGHV3-11,SEC24C,CD274,CD1C,HLA-DRB1,NEDD4L,KIR2DS2,HLA-A,IGHV3-13,HCST,CAPZA3,FBXL15,ASB8,HLA-C,TREML1,HLA-A,STIM1,PDIA3,SEC24D,CTLA4,CD8B,KIR2DS2,AP2A1,RAP1A,IFITM1,LAIR2,KIR2DL1,TRAF6,DCTN4,LILRA6,GRB2,ASB6,UBE2V2,SPSB4,IGHV3-7,FCGR1B,TUBA1A,PPP2R1A,KIR2DL1,KIR2DL3,HLA-DOA,KLHL21,NPEPPS,PPP2R5A,KIR2DL2,HLA-DRB3,PSMC4,KIR2DL3,HLA-DRB1,RNF4,KIR2DL4,IGHV2-5,LTN1,HLA-DPB1,AP1S2,ITGB5,KIR2DL2,PIK3CA,LILRA2,BTNL2,PSME4,CUL7,CDC23,HLA-DRA,RASGRP3,LILRA5,CD3G,RNF25,ITGA4,UBE2R2,KIR2DL4,TAP2,FBXO22,SIGLEC11,IGKV2-30,LAT,RAF1,HLA-DQB1,FBXO17,CD1D,CRTAM,DCTN2,MICB,TRIM21,NFKB1,TRIM36,IGLV2-23,LAIR1,KIR2DS2,AP2S1,KIR2DL4,RIPK2,VCAM1,HLA-G,HERC1,RLIM,TRIM39,KIR2DL4,YWHAZ,SIGLEC5,CTSO,UBE2E2,KIR2DL3,HLA-DRA,SIGLEC6,KIR2DL3,RNF220,LILRA1,HLA-A,PSMC1,KLC3,OSCAR,PSMC5,SIAH1,CENPE,HLA-DRB4,HLA-DPA1,IGKV2D-28,RNF115,SRC,KIR2DS2,KLHL20,KIR2DL4,LILRA6,TUBB2A,PPP3CA,IGHV4-34,HLA-B,KIF2C,IGHV3-30,TUBB2B,TAP1,KIR2DL4,KIR2DL3,CSK,HLA-DQB1,BTRC,DYNLL1,PSMB2,IGLV3-21,HLA-DRB1,ASB9,SH2D1A,KLHL25,HLA-E,ICOSLG,RCHY1,HLA-DQB2,IGLV1-40,FBXW5,LILRB2,DYNC1LI2,SEC61A1,TRIM9,FBXO27,PTPN11,TUBA3D,KLC4,PPP2R5C,MAP3K14,KLHL2,CLTC,LILRA3,KIR2DL3,LILRA4,PRR5,RAP1GAP,ITGB1,FBXW10,BTN1A1,CD28,CD99,UBE2M,KIR2DL3,KIR3DL2,NCR1,PAK2,UBA52,KIR2DL4,IGHV3-11,PSMB7,HLA-F,ASB1,UBE2D3,IGKV1-39,KIR2DL3,KIR2DL2,HLA-DRA,HLA-E,HLA-DOA,RAPGEF4,LILRB4,ITPR3,PIK3CD,ELOC,BTNL2,LY96,HECW2,KIF5B,KIR2DS1,RILP,HLA-DMB,CD14,IGKV2-30,CLTA,UBA7,KEAP1,CLEC2D,HLA-DQA2,HLA-DQA1,DCAF1,ITPR1,TREM1,ICAM4,IGLV7-43,UBAC1,HLA-C,BLNK,COL17A1,LILRB1,UBE2V1,IGKV1-5,IGKV3-11,PSMD2,NCR1,TRIM41,PDPK1,PSMB10,TRIM71,LILRA3,CD74,CD19,IGKV1D-16,TRAT1,BCL10,TAPBP,PSMB9,PSMA7,UBE2H,CTSO,PSMD10,KIR2DS2,IGKV1D-33,KIR2DL4,KIR2DL4,HLA-DRB1,CDC27,PAK1,WWP1,ORAI2,FBXO6,PSMC6,SEC13,HLA-F,PAK3,ASB3,KIR2DS2,UFL1,CD300A,ASB5,KIR2DL3,ZNRF1,LILRB4,OSCAR,TUBB8,KLHL5,KIR2DL3,IGLV6-57,SFTPD,RILP,CTSH,HLA-DPB1,PSMB4,ATG7,HLA-DQA1,HLA-DMA,CTSE,SPTBN2,KIR2DL4,LAIR2,KIR2DL4,PSMD4,ACTR1B,NCR1,KIR3DL1,MADCAM1,HLA-DOB,CD3E,BTNL2,PSMA8,TRIM39,ITK,NCR1,ANAPC13,HLA-F,PSMB8,HLA-DPA1,HLA-G,FBXO2,ANAPC1,PJA1,SEC61G,SIGLEC9,HLA-DQB1,SAR1B,IGHV3-23,DNM1,KBTBD6,PSMB8,UBE2E3,CDC16,HLA-DRB1,PRKACB,FBXL18,IGKV5-2,AKT3,RBX1,PPL,TAP1,TUBA3E,PILRB,TAPBP,ERAP2,OSCAR,PTPN6,HLA-DPB1,KIR2DL4,B2M,IKBKG,TUBA3C,NCF2,SKP1,HLA-DQA2,HLA-DQA1,KIF26A,ZNRF2,HLA-DQA2,HLA-DQA1,CD36,BLMH,JAML,CTSA,KIFAP3,TAPBP,CD1B,IGKV3-15,LILRA2,SEC61B,COL1A2,UBE2G1,HLA-G,KLC1,KIR2DS1,LILRA5,PSMB8,UBE2L3,ASB12,RASGRP2,TUBA8,PSMC2,KIR2DL3,HLA-DQB2,ACTR10,KIR3DL2,CDC20,TAP2,CD4,HLA-DQB2,KIR3DL2,TRIM11,UBR1,RNF123,HLA-DPB1,HLA-DQB2,RNF19B,KIR2DL4,TPP2,TLR4,BLK,REL,NCR3LG1,CDH1,BTNL2,FBXW4,HLA-DPA1,AP1S1,HLA-DOA,VAMP8,UBE2O,KIR2DL3,KIF15,PSMD8,ASB2,PSMD9,RAPGEF3,NCR1,SLAMF7,TNFRSF14,NCR3,IGHV1-2,KIR3DL2,PIK3CB,RNF138,FBXW8,KIR2DS2,LYN,TLR6,DCTN6,LILRA5,TREM2,CANX,CDC42,KLHL22,KIR2DL2,HLA-DPB1,KIR2DS1,AKT1,ICAM2,IGKV1-5,HLA-DOA,TRIM50,HLA-G,CBLL2,SOS1,LILRA2,LILRB5,HLA-DPA1,SH3GL2,AKT2,CD80,IGHD,HLA-DQA2,HLA-DQA1,NCF4,INPP5D,IGKV3-15,CD34,IGKV1-12,LAIR2,HLA-DOB,FBXW7,FBXO40,PRKACA,TRPC1,PSMB9,IGHV3-33,AP1B1,PRKG1,IGHV1-46,HECTD2,KLRC1,RBBP6,HLA-G,AHCYL1,HLA-DQA1,VAV1,UBE2W,PPP2R5D,KIR3DL2,CD200,IGKV3-20,UBOX5,NCR1,HLA-A,CALR,OSCAR,YWHAB,LMO7,IGKV1-16,CD300LF,TAPBP,HLA-DMA,ERAP1,PSMB8,NEDD4,BTNL2,ARF1,UBE2C,NCR1,UBE2D1,WSB1,KIR2DS2,IGKV2D-30,HUWE1,FBXL20,IGKV1-17,MAP3K8,BTNL2,TRIM32,WAS,ANAPC7,HLA-DOB,OSCAR,OSCAR,PIANP,KIF11,HLA-B,PDCD1LG2,SIGLEC10,FBXO11,CTSV,ORAI1,KIR2DL1,PPP2R5B,HLA-DRB3,BTN3A1,YES1,FBXW9,RNF7,LCP2,KIR3DL1,CD81,IGHV3-30,NCR3,IGHV4-34,KIR2DL3,PSMB1,UBE2Q2,TAP1,BTLA,PSMB9,PRKN,MEX3C,TREML4,TUBB1,FYB1,ACTR1A,BTN3A2,LOC107987462,LILRB3,LOC107987425,LOC102725035,OSCAR,TUBA4B,STUB1,CD79B,TRIM39,KIR2DL4,LILRA1,IGKV3-11,RAP1GAP2,ASB4,XDH,CUL1,DZIP3,TRIM39,SEC22B,PRKCQ,SEC31A,HLA-F,CD1A,UBB,LAG3,UBA3,PSMA6,TAP1,INPP5D,PSMB9,CUL5,RICTOR,AP2A2,RNF130,FBXO41,SOCS1,KIR3DL2,TAP1,IGKV2D-40,CTSF,FKBP1A,PSMB9,NFATC2,PPP3CB,TAP2,MICB,NCR1,TAP2,PLCG2,ANAPC11,NFKBIE,HLA-DMA,HLA-DPA1,RNF6,NCR1,HLA-E,IGKV3D-20,HLA-DRA,HLA-DOA,RASGRP1,KIR2DS1,KIR2DL3,HLA-B,UBE3B,HLA-DQA1,KLHL3,CLEC4G,TRIM63,DYNC1H1,IGKV1D-39,CDC34,CYBA,TAP1,LAIR1,FBXO27,PIK3AP1,KIF22,KLHL13,PSMB5,IGKV2-28,IGHV4-39,HLA-F,MICA,LILRA4,SPSB2,IGKV4-1,HLA-DMA,AP2M1,IGKV1-17,ZBTB16,ZAP70,CD86,IGHV3-48,PSMA4,NCR3,BCAP31,ULBP3,UBC,COLEC12,IGLV3-27,MICB,RAB7A,IGKV1-16,PSMB8,FBXL14,TAPBP,LILRB1,CD96,CD300LD,MAP3K7,HLA-DRA,PPP2R5E,HLA-C,SELL,ENAH,CTSC,HLA-B,ANAPC5,IGHV3-13,PSMB6,TRAIP,IGHV3-23,MYD88,CTSS,SIGLEC12,IGLC2,RNF144B,IGLV3-25,ASB14,UBE2J1,COL2A1,PSMB3,UBE2G2,KIF2B,KIR3DL2,DYNC1LI1,AP1S3,ITCH,ASB16,SEM1,UBE3C,GLMN,LILRB2,HLA-DQA2,HLA-DQA1,COL3A1,UBE2A,NCR1,IGLV7-43,HLA-DOB,UBE2L6,RNF217,KIR2DL4,FBXL8,IGLC3,IGKV1-12,KIF3B,KIR3DL2,UBE2Q1,ASB13,B2M,DCTN3,UBE2Z,UBA1,ITGB2,IGHV4-39,HLA-DPB1,BTN2A2,HLA-DMB,SIGLEC8,KLHL9,COL1A1,KIR2DL4,KLRG1,LILRA5,MAPKAP1,TLR2,ANAPC10,CTSK,RNF114,UBE2E1,NECTIN2,LOC107987462,LILRB3,LOC102725035,LOC107987425,KIR2DL4,PSMB9,KIR3DL2,IGLV3-19,PRKCB,NRAS,KLRF1,UBE2D4,KLHL11,SIAH2,KIF4B,CAPZA2,KIR2DS2,IGKV5-2,KIR3DL2,IGHM,RNF126,LILRB5,LILRB5,LILRA3,LILRA2,HLA-DQA2,HLA-DQA1,KIF5A,AKT3,CD300LB,HLA-DMB,UBE2D2,FBXO30,SNAP23,PVR,SH2D1B,KIR2DL1,CD8A,LAIR1,PLCG1,CBLB,FBXL22,LILRA6,THOP1,SLAMF6,FBXL7,LILRA3,HLA-DQB2,UBE3D,LONRF1,CD226,PIK3R1,PAG1,LILRB2,HERC6,DTX3L,TRIM39,ITPR2,IGHM,TRIM4,TRIP12,KIR2DL1,HLA-DMA,SH3KBP1,FBXO44,STX4,FBXO17,KIR2DL1,PSMD1,TRAV29DV5,CTSB,BTNL8,BTNL9,ELOB,FBXL12,NCR3,DNM3,CD33,THEM4,SEC24A,IGLV2-14,KIR3DL2,KIF3C,PSMD7,HLA-DOA,MTOR,FBXL16,KIR2DL3,UBE2U,TAP1,FCGR1A,LRRC41,HRAS,HLA-DOA,AREL1,UBE2N,MIB2,BTBD6,KLRC4-KLRK1,KLRK1,AP1M2,IGLV3-1,RNF111,HLA-A,RNF41,FBXW12,IGLV1-47,CD22,DET1,UBE3A,NFKBIA,FBXO10,UBA5,HLA-DRA,CD160,AP1G1,CYBB,NCR3,SMURF1,KIR3DL1,PSMA2,DCTN1,IGHV3-53,CTSD,PPP2CA,RNF34,FBXW2,CD207,HECTD3,TRIM39,HLA-DMA,MICB,IGHV1-2,SEC61A2,PSMB11,ASB17,TRAF7,IGLV1-51,RAC1,CARD11,KBTBD13,TUBB6,CLEC2B,KIF15,CUL3,IGLV2-11,IGKV2-28,HLA-DRA,CANX,KIF23,HLA-B,NCR1,PRKACG,RBCK1,PSMA5,PIK3R2,TUBAL3,SIPA1,CUL2,CXADR,KIR2DL3,VAMP3,HSPA5,KIR2DL2,KIR2DS2,HLA-DRB1,KBTBD8,PJA2,UBE2J2,HERC5,BTNL2,FBXO21,CAPZA1,CD300C,IGKV1-33,IGKV1D-12,PSMF1,AP1M1,KIR2DL1,RAP1B,TRAV8-4,IGHV1-69,FBXL5,UBE2F,NPDC1,IGKV3-20,TRIB3,HLA-DMB,OSCAR,ICAM1,PSMD13,HLA-DMB,TRIM69,HLA-G,ITGAL,RELA,RNF182,HLA-DMB,HLA-A,EVL,HLA-C,TUBB4A,LAIR1,IGKV1-33,PSMA1,FBXO15,DYNC1I1,CD40LG,HLA-DOB,CD300E,ASB10,FZR1,PSME2,LILRA4,KIR2DL3,PSME1,ASB7,LILRA1,KIR2DS1,MICB,FBXO7,HLA-G,IGKV1-39,TUBA4A,PDCD1,MYLIP,TUBA1C,PPP2CB,TREML2,IGLV1-44,PTEN,RACGAP1,LILRB2,LOC107987462,LILRB3,LOC102725035,LOC107987425,ASB15,PPIA,HLA-DQB2,LILRB5,KIR2DL3,UBE2B,HERC3,RNF213,PSMB8,TNFRSF14,PPP2R1B,TAP2,HLA-DRB5,IGHV4-59,LNX1,MICB,KIR2DS2,CTSL,HLA-DMB,RNF14,FBXO4,KIR2DL3,TUBB4B,HRAS,ARIH2,VASP,DAPP1,KIR3DL1,ULBP1,MRC2,IGHV3-48,KLHL41,NCK1,PTPRJ,OSCAR,LRSAM1,LCK,LRR1,PDCD1,SMURF1,MRC1,ICAM3,IGLV1-44,IGHV3-53,DNM2,PTPRC,CD200R1,PSMC3,HERC2,NCR3,MGRN1,KLHL42,UBR4,BTN2A1,LILRB1,HACE1,CHUK,KCTD7,HLA-A,KIR2DL4,BTN3A3,TRBV7-9,SEC24B,NCF1,KLRB1,LAIR1,TUBB3,PPP3R1,MLST8,NFATC1,HERC4,RNF19A,PSMC4,HLA-DQB2,CAPZB,TAP2,FBXO31,CD209,BTNL2,CBL,TYROBP,HLA-C,HLA-A,TRIM39,NFKBIB,FCGR2B,LILRB5,KIR2DL3,HLA-DPA1,MKRN1,NFKBIB,HLA-DMA,IGHV2-5,KIR2DL3,HLA-G,PTPN22,SKP2,KIR2DL3,CD300LG,KIF4A,HLA-DQB2,DYNC1I2,ANAPC2,PSMD14,TAP2,TRIM37,IGLV1-40,PSMD12,KIR3DL1,LILRA4,CD40,SYK,FBXO32,PSME3,PTPRC,RPS27A,PSMA3,PIK3R3,IGHV3-7,HLA-C,TRAV19,HLA-B,PSMB8,HECTD1,FBXO9,KCTD6,IFI30,CDC26,CD79A,KIR2DL4,DYNLL2,SH3RF1,PSMB3,IGHV1-69,PSMD6,UBR2,HLA-E,KIR3DL2,TUBA1B,ICAM5,KRAS,MALT1,UBE2S,HLA-DOB,MICA,KIF20A
6	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	R-HSA-2046104	ABCD1,ELOVL5,ACOX1,ACOT8,ELOVL1,ELOVL3,FADS2,ACSL1,SCP2,HSD17B4,ACAA1,FADS1,ELOVL2
7	Antigen processing-Cross presentation	R-HSA-1236975	HLA-B,PSMB9,TIRAP,IKBKB,PSMD3,CD14,LNPEP,CYBB,CTSV,PSMA2,PSMB1,TAP1,PSMB8,TLR1,PSMD11,HLA-C,PSMB9,CD207,HLA-F,SEC61A2,PSMD2,PSMB11,PSMB10,TAPBP,PSMB9,PSMB9,PSMA7,HLA-B,PSMD10,PSMA5,SEC22B,PSMD5,HLA-F,VAMP3,UBB,PSMC6,PSMA6,TAP1,PSMB9,TAP1,HLA-F,PSMB9,TAP2,PSMF1,TAP2,BTK,TAP2,ITGAV,PSMB4,HLA-E,HLA-B,PSMD13,PSMD4,CYBA,HLA-G,HLA-A,HLA-A,PSMA8,HLA-C,PSMA1,HLA-A,PSMB8,PSMB5,HLA-C,HLA-F,TAP1,HLA-G,PDIA3,PSME2,SEC61G,HLA-F,PSMB8,PSME1,PSMA4,HLA-G,FCGR1B,TAP1,UBC,TAPBP,TAPBP,PSMB8,IKBKG,B2M,NCF2,PSMC4,HLA-C,TAP2,CD36,HLA-B,PSMB8,PSMB6,TAPBP,MYD88,CTSS,CTSL,SEC61B,ITGB5,PSME4,HLA-G,PSMB3,PSMB8,PSMC2,MRC2,SEM1,TAP2,TAP2,MRC1,TLR4,PSMC3,B2M,VAMP8,PSMD8,HLA-G,PSMD9,CHUK,HLA-A,NCF1,TLR2,TLR6,PSMC1,HLA-A,PSMC5,PSMB9,PSMC4,HLA-G,TAP2,HLA-B,HLA-C,HLA-A,NCF4,TAP1,PSMB2,SNAP23,PSMB9,HLA-E,SEC61A1,HLA-G,HLA-G,PSMD14,TAP2,PSMD12,STX4,HLA-A,PSMD1,PSME3,CALR,RPS27A,PSMA3,TAPBP,HLA-C,HLA-B,PSMB8,UBA52,PSMB8,PSMB7,PSMD7,HLA-F,PSMB3,PSMD6,TAP1,HLA-E,FCGR1A,HLA-E,HLA-A,LY96
8	Antimicrobial peptides	R-HSA-6803157	DEFB103B,DEFB103A,LTF,LOC107987561,DEFB135,CCR2,DEFB106A,DEFB110,DEFA4,DEFB132,DEFB112,DEFB104B,LOC107984148,SLC11A1,DEFB107B,DEFB1,DEFB128,DEFB107A,DEFB133,TLR1,DEFB103A,ATP7A,CD4,DEFB129,PRSS3,ATOX1,DEFB4A,LOC105379765,DEFB134,DEFA6,DEFB104A,LOC107984148,DEFB103B,DEFB103A,DEFB131A,DEFB105A,DEFB125,DEFB119,DEFB106B,DEFB107B,DEFB121,DEFB113,LCN2,DEFB105B,DEFB115,S100A9,PDZD11,DEFB114,DEFA3,S100A8,DEFB105B,DEFB127,DEFB4B,S100A7A,DEFB118,TLR2,DEFA5,DEFB104B,LOC107984148,DEFB124,DEFB130B,LOC107987560,DEFB136,S100A7,ART1,DEFB123,DEFA1,DEFB116,DEFB106B,CCR6,DEFB126,DEFB108B,DEFB130A,PRSS2,DEFA1B,DEFB4B,PRSS2
9	Antiviral mechanism by IFN-stimulated genes	R-HSA-1169410	TRIM25,NUP153,UBA7,KPNA5,EIF4E3,NUP85,NUP210,POM121C,KPNA7,EIF4E2,EIF4G2,PPM1B,NUP43,PLCG1,DDX58,EIF4G3,NUP107,EIF4E,JAK1,UBE2L6,EIF4G1,KPNA3,EIF4A2,NUP62,IRF3,SEH1L,KPNA2,EIF2AK2,FLNB,RAE1,NUP37,RANBP2,USP18,RPS27A,NUP155,KPNA4,NUPL2,UBA52,MX1,NEDD4,PIN1,IFIT1,EIF4A3,NUP50,KPNB1,UBC,UBE2E1,UBB,KPNA7,POM121,NUP98,NUP54,USP41,NUP214,NUP58,AAAS,NUP205,EIF4A1,NUP35,MX2,NUP188,STAT1,UBE2N,NDC1,NUP160,NUP93,HERC5,NUP133,TPR,NUP88,MAPK3,KPNA1,ARIH1,ISG15
